account_id,customer_name,ship_address,ship_city,ship_state,ship_zip,email,contact_phone,order_count,last_order,item_category,order_amount
500024,Jessica Young,2489 Hualapai Ave,Henderson,NV,89011,jessica.young72@hotmail.com,(702) 555-2829,1,2025-11-28,Desktop,1267.42
500025,Carol Hall,6838 Russell St,Summerlin,NV,89135,carol.hall18@gmail.com,(702) 555-6313,1,2025-09-28,Monitor,368.73
500026,Michelle Edwards,1106 Cheyenne Ln,Las Vegas,NV,89101,michelle.edwards30@gmail.com,(725) 555-7434,1,2025-08-03,Accessory,32.02
500027,Brandon Morales,9025 Canyon Rd,Las Vegas,NV,89117,brandon.morales38@yahoo.com,(725) 555-7472,1,2025-05-27,Printer,515.97
500028,Henry Kim,1588 Mojave Ave,Henderson,NV,89011,henry.kim52@outlook.com,(702) 555-5392,1,2025-06-06,Monitor,409.42
500029,Peter Kennedy,894 Jones Ln,Henderson,NV,89011,peter.kennedy25@outlook.com,(725) 555-8078,1,2024-03-02,Warranty,131.03
500030,Kyle Cruz,7904 Centennial St,Henderson,NV,89011,kyle.cruz28@yahoo.com,(725) 555-9241,1,2024-02-27,Printer,579.44
500031,Jacob Robinson,2197 Bonanza Ct,Henderson,NV,89052,jacob.robinson97@yahoo.com,(725) 555-9199,1,2024-07-08,Laptop,1249.65
500032,Chris Freeman,4396 Windmill Rd Apt 27,Las Vegas,NV,89119,christopher.freeman33@gmail.com,(702) 555-7390,1,2024-01-19,Printer,517.66
500033,Elizabeth Howard,8759 Jones Pkwy,Las Vegas,NV,89119,ehoward24@yahoo.com,(725) 555-9965,1,2025-11-17,Warranty,77.11
500034,Maria Crawford,9553 Cactus Ln,Henderson,NV,89011,maria.crawford8@outlook.com,(702) 555-5022,1,2025-05-25,Laptop,2553.01
500035,Brenda Nguyen,7646 Diamond Ln,Henderson,NV,89052,brenda.nguyen14@icloud.com,(702) 555-8042,1,2025-09-24,Desktop,1586.7
500036,Maria Robinson,3743 Ann St,North Las Vegas,NV,89031,maria.robinson82@hotmail.com,(702) 555-3284,1,2025-06-19,Tablet,1108.47
500037,Heather Ramos,3351 Alta Ln,Henderson,NV,89052,heather.ramos42@outlook.com,(725) 555-5150,1,2024-12-21,Desktop,2069.68
500038,Stephen Alvarez,2401 Jones Ln,North Las Vegas,NV,89031,stephen.alvarez54@outlook.com,(702) 555-1503,7,2025-06-13,Accessory,104.8
500039,Angela Wallace,3650 Stephanie Blvd,Henderson,NV,89052,angela.wallace83@gmail.com,(702) 555-6120,1,2024-12-10,Monitor,162.67
500040,Eric Cole,5479 Owens Ct,Las Vegas,NV,89101,eric.cole89@yahoo.com,(702) 555-3280,5,2024-07-17,Accessory,57.06
500041,Rachel Roberts,4933 Maryland Dr,Paradise,NV,89109,rachel.roberts70@yahoo.com,(702) 555-4292,1,2025-02-08,Laptop,1742.91
500042,Katherine Ward,4105 Grand Ct,Las Vegas,NV,89117,katherine.ward79@outlook.com,(702) 555-3984,1,2025-07-20,Accessory,57.43
500043,Kimberley Henderson,2623 Cheyenne Ct,Paradise,NV,89109,kimberly.henderson2@hotmail.com,(702) 555-4987,1,2025-07-19,Printer,492.12
500044,Stephanie Murray,2611 Charleston Way,Las Vegas,NV,89119,stephanie.murray57@gmail.com,(725) 555-4211,1,2025-06-04,Desktop,2048.14
500045,Aisha Jenkins,1136 Horizon Way Apt 39,Las Vegas,NV,89117,aisha.jenkins85@gmail.com,(702) 555-3065,1,2025-09-24,Laptop,1222.76
500046,Sara Thompson,242 Durango Pkwy,Paradise,NV,89109,sarah.thompson28@outlook.com,(725) 555-3241,1,2025-09-23,Tablet,592.54
500047,Heather Guzman,1511 Boulder Blvd,Henderson,NV,89052,heather.guzman30@gmail.com,(702) 555-1641,1,2024-03-29,Warranty,282.66
500048,Pamela Roberts,7271 Losee Blvd,Las Vegas,NV,89119,pamela.roberts32@yahoo.com,(725) 555-9687,1,2025-06-22,Software,22.63
500049,Jeremy Webb,7378 Nellis Dr,North Las Vegas,NV,89031,jeremy.webb31@hotmail.com,(725) 555-9782,1,2024-12-02,Software,117.07
500050,Amanda Ramirez,6433 Fort Dr,Las Vegas,NV,89117,amanda.ramirez50@icloud.com,(725) 555-9724,1,2024-07-27,Warranty,264.8
500051,Kathleen Cook,3572 Rampart Ln,Paradise,NV,89109,kathleen.cook62@yahoo.com,(725) 555-8387,1,2025-08-15,Software,345.5
500052,Dennis Jimenez,5853 Alta Way Apt 17,Summerlin,NV,89135,dennis.jimenez89@yahoo.com,(702) 555-6903,1,2024-04-11,Laptop,1963.7
500053,Jordan Mitchell,6653 Nellis Pkwy,Henderson,NV,89052,jordan.mitchell20@yahoo.com,(725) 555-1235,1,2025-03-19,Desktop,2028.28
500054,Betty Jimenez,3013 Owens Blvd,Henderson,NV,89011,betty.edwards79@hotmail.com,(702) 555-2898,1,2025-10-11,Warranty,216.14
500055,Luis Coleman,3808 Nellis Ln Apt 3,Summerlin,NV,89135,luis.coleman77@outlook.com,(702) 555-3543,1,2024-12-27,Monitor,404.79
500056,Brenda Reynolds,5722 Sahara Dr,North Las Vegas,NV,89031,brenda.reynolds40@icloud.com,(725) 555-3254,1,2024-03-13,Printer,797.85
500057,Kimberly Hayes,5998 Warm Blvd,Summerlin,NV,89135,kimberly.hayes66@yahoo.com,(725) 555-7237,1,2024-09-04,Desktop,2163.75
500058,Nathan Ortiz,8568 Rampart Rd,Las Vegas,NV,89101,nathan.ortiz84@icloud.com,(725) 555-6086,4,2025-01-15,Desktop,1891.34
500059,Luis Moore,2196 Cheyenne Blvd,Las Vegas,NV,89101,luis.moore59@yahoo.com,(725) 555-2004,1,2024-07-23,Warranty,427.22
500060,Grace Gray,6193 Gibson Boulevard,Henderson,NV,89052,grace.gray19@icloud.com,(702) 555-3234,1,2024-05-10,Monitor,352.69
500061,Lisa Morales,281 Craig Dr,Henderson,NV,89011,lmorales31@yahoo.com,(702) 555-5940,1,2024-04-02,Accessory,30.48
500062,John Morgan,7078 Gibson Way Apt 10,Summerlin,NV,89135,john.morgan6@icloud.com,(725) 555-1018,1,2025-01-23,Tablet,1071.09
500063,Christine Philips,383 Gibson Ct,Henderson,NV,89052,christine.phillips85@gmail.com,(702) 555-2561,1,2025-07-17,Printer,625.96
500064,Joseph Ramos,5120 Durango Pkwy Apt 34,Las Vegas,NV,89117,joseph.ramos78@outlook.com,(725) 555-6502,1,2025-03-19,Software,364.57
500065,Bob Tucker,1357 Grand Ln,North Las Vegas,NV,89031,robert.tucker74@outlook.com,(702) 555-5641,1,2025-11-29,Laptop,1184.7
500066,Joshua Lopez,4359 Charleston Dr,Las Vegas,NV,89117,joshua.lopez33@gmail.com,(702) 555-7362,1,2025-08-23,Tablet,624.52
500067,Richard Russell,5602 Sahara Ct,Henderson,NV,89052,richard.kelly53@gmail.com,(702) 555-6270,1,2024-10-18,Tablet,589.67
500068,Richard Ford,5969 Grand Ct,Henderson,NV,89011,richard.ford86@outlook.com,(725) 555-4757,1,2025-07-05,Software,20.05
500069,Juan Greene,6657 Blue Pkwy,North Las Vegas,NV,89031,juan.green36@hotmail.com,(702) 555-6829,1,2025-09-19,Desktop,1930.36
500070,Bryan Sanders,9625 Washington Pkwy,Las Vegas,NV,89101,brian.sanders46@outlook.com,(725) 555-3743,1,2024-01-01,Desktop,749.51
500071,Heather Lee,715 Nellis Pkwy,Las Vegas,NV,89101,heather.lee57@hotmail.com,(725) 555-7065,1,2024-12-03,Warranty,299.71
500072,Stephen Alvarez,6999 Cactus Ct,North Las Vegas,NV,89031,stephen.alvarez54@outlook.com,(702) 555-1503,7,2024-11-08,Monitor,557.39
500073,Patricia Murray,5438 Tropicana Ln,Henderson,NV,89011,patricia.murray30@outlook.com,(702) 555-4046,1,2024-12-21,Warranty,114.13
500074,Aisha Perry,3389 Durango Rd,Summerlin,NV,89135,aisha.perry38@icloud.com,(702) 555-6227,1,2024-08-28,Laptop,1217.27
500075,Isabela Thomas,1333 Buffalo Pkwy,Paradise,NV,89109,isabella.thomas97@yahoo.com,(725) 555-9839,1,2024-07-07,Monitor,506.76
500076,Katherine Kim,2263 Mojave Rd,Las Vegas,NV,89119,katherine.kim60@hotmail.com,(725) 555-9618,1,2024-10-30,Printer,799.73
500077,Anthony Bennett,2438 Mojave Rd,Henderson,NV,89052,anthony.bennett32@icloud.com,(702) 555-2524,1,2025-12-21,Laptop,1414.76
500078,Andrew Walker,8558 Rampart Rd Apt 31,Las Vegas,NV,89101,andrew.walker93@outlook.com,(725) 555-6267,1,2025-04-12,Desktop,1513.63
500079,Lisa Mitchell,5233 Silverado Ln,Paradise,NV,89109,lisa.mitchell70@outlook.com,(725) 555-6960,1,2025-03-06,Laptop,2408.37
500080,Dorothy Thomson,7625 Sahara Dr,Las Vegas,NV,89119,dorothy.thompson74@icloud.com,(702) 555-4820,1,2025-11-12,Laptop,2317.27
500081,Debra Stuart,350 Decatur Blvd,North Las Vegas,NV,89031,debra.stewart53@hotmail.com,(725) 555-3744,1,2025-07-10,Warranty,101.48
500082,Melissa Richardson,5333 Warm Pkwy,Las Vegas,NV,89117,melissa.richardson43@outlook.com,(725) 555-4742,1,2025-03-15,Printer,700.8
500083,Kenneth Hughes,8070 Lamb Pkwy,Las Vegas,NV,89101,kenneth.hughes21@gmail.com,(702) 555-4811,1,2024-03-17,Tablet,917.06
500084,Karen Vasquez,426 Canyon Way Apt 28,Summerlin,NV,89135,karen.vasquez90@hotmail.com,(725) 555-5096,1,2024-10-14,Desktop,2045.41
500085,Christine Ward,6737 Stephanie Ct Apt 9,North Las Vegas,NV,89031,christine.ward58@gmail.com,(702) 555-8469,1,2025-12-22,Tablet,328.58
500086,Sharon Moore,6289 Horizon Ave,Las Vegas,NV,89117,sharon.moore96@gmail.com,(725) 555-5356,1,2025-07-09,Laptop,1460.3
500087,Walter Smith,2632 Flamingo Ct,Las Vegas,NV,89101,walter.smith50@gmail.com,(725) 555-5825,1,2025-07-13,Software,399.52
500088,Nancy Walker,9010 Rainbow St,Las Vegas,NV,89119,nancy.walker21@outlook.com,(725) 555-6093,1,2024-07-18,Desktop,1450.78
500089,Heather Castillo,8776 Pecos Pkwy,Las Vegas,NV,89117,heather.castillo16@icloud.com,(702) 555-1055,1,2024-09-13,Warranty,223.76
500090,Linda Smyth,7839 Cheyenne Ave,Henderson,NV,89052,linda.smith40@hotmail.com,(702) 555-5413,1,2025-11-10,Tablet,1165.42
500091,Emma Vasquez,5177 Washington Ln,Summerlin,NV,89135,emma.vasquez24@yahoo.com,(725) 555-4254,1,2025-05-31,Desktop,1543.73
500092,Erik Nguyen,8419 Centennial Ave,Las Vegas,NV,89101,eric.nguyen87@hotmail.com,(725) 555-7757,1,2024-12-09,Monitor,344.49
500093,Robert Allen,9736 Owens Dr,Las Vegas,NV,89119,robert.allen17@yahoo.com,(702) 555-9128,1,2024-06-18,Warranty,162.33
500094,John Johnson,8829 Craig St,Las Vegas,NV,89119,john.scott47@icloud.com,(725) 555-2986,1,2024-06-20,Desktop,1754.22
500095,Sharon Carter,4086 Bonanza Ave,Paradise,NV,89109,sharon.carter78@gmail.com,(725) 555-3849,1,2024-07-21,Software,333.88
500096,Walter Morales,4944 Torrey Ln Apt 8,Henderson,NV,89011,walter.morales49@gmail.com,(702) 555-7582,1,2024-12-09,Warranty,157.14
500097,Sofia Marshall,175 Owens St Apt 24,Henderson,NV,89052,sofia.marshall44@icloud.com,(702) 555-4175,1,2024-09-24,Tablet,682.1
500098,Joshua Campbell,7775 Maryland Dr,Henderson,NV,89011,joshua.campbell9@icloud.com,(725) 555-9959,1,2025-08-11,Accessory,54.86
500099,Roger Edwards,8535 Silverado Rd,Paradise,NV,89109,roger.edwards80@hotmail.com,(725) 555-2768,1,2024-12-14,Monitor,481.03
500100,Joshua Guzman,5688 Boulder Ct,Las Vegas,NV,89119,joshua.guzman13@icloud.com,(725) 555-4876,1,2024-04-21,Desktop,1832.86
500101,Ashley Reyes,4245 Sahara St Apt 28,Henderson,NV,89052,ashley.reyes62@gmail.com,(702) 555-9007,1,2025-06-13,Software,151.89
500102,Matthew White,8723 Owens Ln,Las Vegas,NV,89101,matthew.ramos86@gmail.com,(702) 555-3572,1,2024-03-29,Software,88.17
500103,Andrew Herrera,7887 Warm Dr Apt 29,North Las Vegas,NV,89031,andrew.herrera58@outlook.com,(702) 555-9858,1,2025-04-09,Software,221.57
500104,Andrew Cooke,2152 Alta Ct,Las Vegas,NV,89101,andrew.cook71@yahoo.com,(725) 555-5842,1,2024-03-17,Monitor,212.07
500105,George Moore,1382 Silverado Ct,Paradise,NV,89109,george.moore65@outlook.com,(702) 555-7786,1,2024-08-13,Software,128.28
500106,Sofia Brooks,5414 Centennial Pkwy,Henderson,NV,89011,sofia.brooks12@hotmail.com,(725) 555-1294,1,2024-12-13,Accessory,210.37
500107,Donna Adams,9806 Silverado Ave,North Las Vegas,NV,89031,donna.adams36@gmail.com,(725) 555-6220,1,2024-09-15,Laptop,2419.13
500108,Ashley King,9790 Grand Ct,Las Vegas,NV,89117,ashley.king61@hotmail.com,(702) 555-2688,1,2025-07-04,Tablet,350.97
500109,Pamela Robinson,4170 Diamond Way,Las Vegas,NV,89119,pamela.robinson99@icloud.com,(702) 555-4843,1,2024-09-30,Accessory,41.36
500110,Hanna Kim,5595 Springs Ave Apt 36,Las Vegas,NV,89119,hannah.kim36@icloud.com,(725) 555-3831,1,2024-10-24,Laptop,2589.92
500111,Dorothy Reynolds,7737 Sahara Ave,Las Vegas,NV,89119,dorothy.reynolds54@gmail.com,(725) 555-6628,1,2024-06-23,Desktop,1831.13
500112,Diane Mendoza,8978 Centennial Way,Las Vegas,NV,89101,diane.mendoza61@hotmail.com,(725) 555-6495,1,2024-05-27,Desktop,864.32
500113,Tyler Morris,8081 Tropicana Ln,Las Vegas,NV,89119,tyler.morris39@yahoo.com,(702) 555-3226,1,2025-09-14,Desktop,1521.63
500114,Lisa Stevens,6157 Jones Dr,Las Vegas,NV,89101,lisa.stevens36@gmail.com,(725) 555-6139,1,2025-06-08,Laptop,1186.07
500115,Kimberley Turner,4524 Tropicana Blvd,Paradise,NV,89109,kimberly.turner40@hotmail.com,(725) 555-6153,1,2025-06-27,Monitor,155.46
500116,Heather Davis,4482 Mojave Way,Las Vegas,NV,89119,heather.davis47@yahoo.com,(725) 555-1127,1,2024-04-30,Monitor,620.66
500117,Fatima Chavez,6125 Eastern Ave,Las Vegas,NV,89117,fatima.chavez24@outlook.com,(702) 555-9459,1,2025-11-27,Tablet,918.4
500118,Justin Burns,6093 Lamb Ave,Henderson,NV,89052,justin.torres91@hotmail.com,(725) 555-1179,1,2024-03-22,Software,40.98
500119,Nancy Sanchez,5021 Maryland St,Las Vegas,NV,89117,nancy.sanchez37@gmail.com,(702) 555-7059,1,2024-04-22,Laptop,1315.42
500120,Melissa Bryant,914 Sunset St Apt 19,Henderson,NV,89011,melissa.bryant28@outlook.com,(702) 555-3017,1,2024-05-22,Printer,255.66
500121,Melissa Chavez,2653 Diamond Ave,Paradise,NV,89109,melissa.chavez31@gmail.com,(725) 555-1131,1,2024-05-07,Desktop,1003.14
500122,Kyle Ramos,583 Flamingo Ln Apt 16,Las Vegas,NV,89119,kyle.ramos72@outlook.com,(725) 555-8746,1,2024-02-19,Accessory,42.53
500123,John Baker,5485 Silverado Ave,Las Vegas,NV,89119,john.baker30@outlook.com,(702) 555-2107,1,2024-04-23,Warranty,278.79
500124,Raymond Owens,1945 Mojave Rd,Las Vegas,NV,89101,raymond.owens43@yahoo.com,(725) 555-3553,1,2025-04-28,Printer,549.06
500125,Sara Nguyen,3548 Rampart St,North Las Vegas,NV,89031,sarah.nguyen39@gmail.com,(702) 555-3734,1,2025-02-22,Warranty,207.75
500126,Heather Bell,4023 Stephanie Way,Paradise,NV,89109,heather.bell36@yahoo.com,(725) 555-9638,1,2024-04-19,Software,377.58
500127,Ashley Cole,959 Sandhill St,Summerlin,NV,89135,ashley.sullivan65@icloud.com,(725) 555-5023,1,2024-05-10,Accessory,214.98
500128,Jacob Hughes,6989 Lamb Ln,Henderson,NV,89052,jacob.hughes83@yahoo.com,(725) 555-2239,1,2024-11-19,Desktop,1051.17
500129,Nathalie Hughes,3433 Stephanie Ln,Las Vegas,NV,89119,natalie.hughes54@gmail.com,(725) 555-1903,1,2025-04-16,Printer,535.21
500130,Ethan Gray,8449 Alta Avenue,North Las Vegas,NV,89031,ethan.gray3@yahoo.com,(725) 555-6033,1,2025-12-10,Desktop,2110.83
500131,Steven Hayes,704 Apache Blvd,Las Vegas,NV,89101,steven.hayes57@icloud.com,(725) 555-6215,1,2024-01-12,Printer,422.74
500132,Thomas Myers,8756 Losee Rd,North Las Vegas,NV,89031,thomas.myers96@yahoo.com,(725) 555-9537,1,2024-04-16,Tablet,435.63
500133,Aisha Aguilar,8773 Carey Dr,North Las Vegas,NV,89031,aisha.aguilar66@hotmail.com,(702) 555-6525,1,2024-03-26,Monitor,382.07
500134,Luis Kim,4313 Centennial Way,Las Vegas,NV,89119,luis.kim35@icloud.com,(725) 555-8582,1,2024-06-23,Tablet,441.86
500135,Carl Ward,5863 Windmill Ave Ste 100,Henderson,NV,89011,carl.ward86@gmail.com,(702) 555-9267,7,2024-10-26,Accessory,21.19
500136,Anna Murphy,7313 Losee Ave,Henderson,NV,89052,anna.murphy41@icloud.com,(725) 555-2193,1,2025-10-16,Tablet,505.22
500137,John Foster,9895 Blue St,Henderson,NV,89052,john.foster84@outlook.com,(725) 555-4654,1,2025-03-09,Warranty,421.16
500138,Kyle Herrera,657 Nellis Ave,Henderson,NV,89052,kyle.herrera35@gmail.com,(725) 555-5692,1,2025-04-21,Monitor,320.04
500139,Karen Wilson,9484 Rainbow St,Las Vegas,NV,89101,karen.wilson30@icloud.com,(725) 555-8775,1,2025-08-15,Printer,543.76
500140,George Kennedy,534 Charleston Ln Apt 12,North Las Vegas,NV,89031,george.kennedy24@hotmail.com,(702) 555-3705,1,2024-04-29,Warranty,175.32
500141,Peter Nelson,6704 Nellis St,North Las Vegas,NV,89031,peter.nelson24@yahoo.com,(725) 555-9171,1,2025-10-10,Desktop,1822.06
500142,Samantha Green,6313 Durango Ct,Summerlin,NV,89135,samantha.foster4@outlook.com,(702) 555-1605,1,2025-11-29,Desktop,1098.86
500143,Gary Castillo,1196 Rampart Ave,Las Vegas,NV,89119,gary.castillo19@yahoo.com,(702) 555-8317,1,2024-07-30,Desktop,889.64
500144,Nichole Cooper,9111 Diamond St,Las Vegas,NV,89119,nicole.cooper47@icloud.com,(702) 555-8585,1,2024-08-06,Laptop,1542.82
500145,Hannah Aguilar,9712 Silverado St,Las Vegas,NV,89117,hannah.aguilar51@icloud.com,(725) 555-1875,1,2024-02-09,Monitor,672.03
500146,Eric Coleman,8647 Buffalo Dr,Henderson,NV,89011,eric.coleman37@outlook.com,(725) 555-4805,1,2025-02-23,Warranty,254.14
500147,Angela Philips,964 Russell Dr,Las Vegas,NV,89117,angela.phillips86@hotmail.com,(725) 555-6480,1,2025-05-15,Monitor,285.25
500148,Jeffrey Tucker,5090 Fort Dr,Las Vegas,NV,89119,jeffrey.tucker47@outlook.com,(725) 555-9887,1,2024-07-20,Tablet,586.79
500149,Patricia Russell,8528 Charleston Ave,Henderson,NV,89052,patricia.russell73@hotmail.com,(725) 555-3072,1,2025-06-22,Printer,183.8
500150,Diane Guzman,8175 Stephanie Way,Henderson,NV,89052,diane.hayes68@gmail.com,(725) 555-3746,1,2025-05-06,Accessory,153.54
500151,Anthony Sanchez,5066 Tropicana Ct,Paradise,NV,89109,anthony.sanchez69@outlook.com,(725) 555-8976,1,2024-02-06,Tablet,994.78
500152,Sofia West,8242 Horizon Rd,Las Vegas,NV,89119,sofia.west47@yahoo.com,(702) 555-8708,1,2025-06-16,Printer,571.44
500153,Mei Wright,4858 Fort Ct Apt 10,Paradise,NV,89109,mei.wright74@icloud.com,(725) 555-9960,1,2025-12-15,Warranty,240.92
500154,Emma Carter,9395 Eastern Dr,Las Vegas,NV,89119,,(725) 555-9260,1,2025-11-04,Tablet,1143.71
500155,Melissa Price,6263 Jones Rd,Las Vegas,NV,89117,melissa.price59@hotmail.com,(702) 555-6910,1,2024-04-01,Accessory,18.39
500156,Samuel Griffin,1708 Craig Pkwy,Las Vegas,NV,89119,samuel.griffin92@gmail.com,(702) 555-2827,1,2024-10-18,Monitor,434.56
500157,Keith Evans,9873 Hualapai Blvd Apt 9,Henderson,NV,89052,keith.evans87@outlook.com,(725) 555-1757,1,2025-05-27,Software,426.03
500158,Wei Simmons,2667 Pecos Ct Apt 31,Summerlin,NV,89135,wei.simmons49@icloud.com,(725) 555-9276,1,2025-10-09,Warranty,101.51
500159,William Mendoza,5418 Maryland Dr,Las Vegas,NV,89101,william.mendoza35@hotmail.com,(702) 555-8916,1,2025-01-31,Printer,745.94
500160,Charlie Young,321 Maryland Way,North Las Vegas,NV,89031,charles.young34@yahoo.com,(725) 555-2220,1,2025-03-03,Desktop,2143.16
500161,Emma Russell,5280 Centennial St Apt 10,Summerlin,NV,89135,emma.russell44@outlook.com,(702) 555-3898,1,2024-02-27,Warranty,67.04
500162,Luis Butler,2978 Centennial Blvd,Henderson,NV,89052,luis.butler4@hotmail.com,(725) 555-6403,1,2024-08-25,Monitor,363.91
500163,Gregory Aguilar,8965 Cheyenne Ln,Paradise,NV,89109,gregory.aguilar40@icloud.com,(725) 555-6182,1,2024-06-16,Printer,380.28
500164,Roger Wells,3558 Cactus St,Summerlin,NV,89135,roger.wells30@icloud.com,(725) 555-4691,1,2025-05-11,Software,89.85
500165,Douglas Edwards,8690 Hualapai Ct,Las Vegas,NV,89117,douglas.edwards46@hotmail.com,(702) 555-1534,1,2024-12-13,Printer,724.11
500166,Scott Ford,3687 Centennial Pkwy,Las Vegas,NV,89119,scott.ford91@gmail.com,(725) 555-2008,1,2024-12-31,Software,127.09
500167,Amy Alexander,5816 Canyon Way Apt 22,Henderson,NV,89052,amy.alexander71@hotmail.com,(702) 555-9186,1,2024-05-22,Warranty,329.6
500168,Sandra Flores,308 Charleston Dr,Las Vegas,NV,89101,sandra.flores71@hotmail.com,(725) 555-9015,1,2024-03-15,Printer,697.36
500169,Michele Webb,3356 Canyon Way,North Las Vegas,NV,89031,michelle.webb11@yahoo.com,(702) 555-9435,1,2025-10-24,Warranty,382.06
500170,Bill Cruz,277 Jones Way Apt 22,Henderson,NV,89011,william.cruz33@hotmail.com,(702) 555-1399,1,2024-02-10,Software,205.47
500171,Angela Fernandez,8816 Hualapai St Apt 40,Las Vegas,NV,89117,angela.fernandez72@yahoo.com,(702) 555-9751,1,2024-02-21,Monitor,686.46
500172,Barbara Evans,9635 Canyon Ave,Henderson,NV,89052,barbara.evans22@gmail.com,(725) 555-1414,1,2025-01-11,Software,302.09
500173,Linda Reynolds,1905 Horizon Road,Las Vegas,NV,89119,linda.reynolds37@yahoo.com,(702) 555-3546,1,2025-02-20,Desktop,1815.77
500174,Adam Martin,6257 Owens Ct Apt 26,Summerlin,NV,89135,adam.martin76@icloud.com,(725) 555-9632,1,2025-09-03,Accessory,188.24
500175,Walter Harris,671 Canyon Rd,North Las Vegas,NV,89031,walter.foster89@outlook.com,(725) 555-9461,1,2025-11-27,Printer,712.55
500176,Deborah Brown,1436 Torrey Ln,Henderson,NV,89052,deborah.brown59@icloud.com,(725) 555-4228,1,2025-07-27,Warranty,82.51
500177,Aaron Murray,8762 Grand Rd,Summerlin,NV,89135,aaron.adams55@gmail.com,(702) 555-5254,1,2024-08-23,Printer,673.81
500178,Carlos Edwards,2876 Ann Dr,Las Vegas,NV,89101,cedwards35@yahoo.com,(725) 555-6184,1,2024-05-23,Laptop,2196.18
500179,Jeremy Cruz,8753 Maryland Dr,Henderson,NV,89011,jeremy.cruz78@outlook.com,(725) 555-3341,1,2024-06-19,Tablet,366.02
500180,Dan Allen,3372 Decatur Ct,Henderson,NV,89011,daniel.allen40@yahoo.com,(725) 555-4613,1,2025-12-05,Tablet,1231.15
500181,Ronald Lee,4045 Flamingo St,Henderson,NV,89011,ronald.lee41@yahoo.com,(702) 555-4599,1,2025-11-16,Laptop,1328.31
